Airline ID,Name,Country,Active
1,Private flight,,Y
415,Aerojet de Costa Rica,,N
1406,Balkan Bulgarian Airlines,,Y
1509,Bellview Airlines,,N
1516,BAX Global,,N
2080,Electronic Data Systems,,N
2636,Gulf African Airlines - Gambia,,N
2649,Guyana Airways 2000,,N
2804,ICAO,,N
3562,Multiflight,,N
4051,Princess Air,,N
4430,Scorpio Aviation,,N
4679,Sky Trek International Airlines,,N
4854,Sirin,,N
5199,Transports et Travaux A,,N
